onset	trial_type	duration
0.034	Lose_Instruction	5000
5.645	LoseGames_Ant	600
9.243	LoseGames_FB_Win	1000
10.255999999999998	LoseGames_ITI	1100
14.040999999999999	LoseGames_Ant	600
17.64	LoseGames_FB_Lose	1000
18.653	LoseGames_ITI	1100
22.438000000000002	LoseGames_Ant	600
26.037	LoseGames_FB_Win	1000
27.035999999999998	LoseGames_ITI	1100
30.835	LoseGames_Ant	600
34.446	LoseGames_FB_Win	1000
35.446	LoseGames_ITI	1100
47.641000000000005	LoseGames_Ant	600
51.24	LoseGames_FB_Win	1000
52.239	LoseGames_ITI	1100
58.144	LoseGames_Ant	600
61.742	LoseGames_FB_Win	1000
62.755	LoseGames_ITI	1100
68.646	LoseGames_Ant	600
72.245	LoseGames_FB_Lose	1000
73.258	LoseGames_ITI	1100
77.043	LoseGames_Ant	600
80.641	LoseGames_FB_Lose	1000
81.654	LoseGames_ITI	1100
83.334	LoseGames_Ant	600
86.945	LoseGames_FB_Win	1000
87.945	LoseGames_ITI	1100
89.63799999999999	LoseGames_Ant	600
93.236	LoseGames_FB_Lose	1000
94.249	LoseGames_ITI	1100
100.14	LoseGames_Ant	600
103.73899999999999	LoseGames_FB_Lose	1000
104.738	LoseGames_ITI	1100
110.64299999999999	LoseGames_Ant	600
114.241	LoseGames_FB_Lose	1000
115.241	LoseGames_ITI	1100
119.039	LoseGames_Ant	600
122.63799999999999	LoseGames_FB_Lose	1000
123.65100000000001	LoseGames_ITI	1100
125.34299999999999	LoseGames_Ant	600
128.942	LoseGames_FB_Win	1000
129.955	LoseGames_ITI	1100
133.74	LoseGames_Ant	600
137.339	LoseGames_FB_Win	1000
138.338	LoseGames_ITI	1100
